P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033344,ETIMS/TIMS sales,35550.00
P051123223G,NAIVAS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033345,ETIMS/TIMS sales,203203.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033346,ETIMS/TIMS sales,64000.00
P051100907F,PANDYA MEMORIAL HOSPITAL,KRAMW019202207043370,04/05/2026,|0190433700000033347,ETIMS/TIMS sales,33000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033352,ETIMS/TIMS sales,40400.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033353,ETIMS/TIMS sales,46250.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033354,ETIMS/TIMS sales,48000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033355,ETIMS/TIMS sales,59550.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033358,ETIMS/TIMS sales,8000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033359,ETIMS/TIMS sales,24000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033360,ETIMS/TIMS sales,8000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033361,ETIMS/TIMS sales,8000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033362,ETIMS/TIMS sales,16000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033363,ETIMS/TIMS sales,16000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033364,ETIMS/TIMS sales,40100.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033366,ETIMS/TIMS sales,267650.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033367,ETIMS/TIMS sales,203200.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033368,ETIMS/TIMS sales,133900.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033369,ETIMS/TIMS sales,137150.00
P052424870H,REFRONTIER XANA PHARMACY LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033370,ETIMS/TIMS sales,259000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033371,ETIMS/TIMS sales,89050.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033372,ETIMS/TIMS sales,40000.00
P000619188N,Baobab Beach Resort Mombasa Limited,KRAMW019202207043370,05/05/2026,|0190433700000033374,ETIMS/TIMS sales,164250.00
P051591662G,Prideinn Paradise Beach Resort Limited,KRAMW019202207043370,05/05/2026,|0190433700000033375,ETIMS/TIMS sales,192000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033376,ETIMS/TIMS sales,16000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033377,ETIMS/TIMS sales,8000.00
P000591538Q,New Westland Stores Limited,KRAMW019202207043370,05/05/2026,|0190433700000033378,ETIMS/TIMS sales,-4500.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033380,ETIMS/TIMS sales,204050.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033381,ETIMS/TIMS sales,56000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033382,ETIMS/TIMS sales,129600.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033383,ETIMS/TIMS sales,51850.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033384,ETIMS/TIMS sales,29450.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033385,ETIMS/TIMS sales,104750.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033386,ETIMS/TIMS sales,16000.00
